contestId,index,name,type,tags,rating,points,solvedCount
2167,G,Mukhammadali and the Smooth Array,PROGRAMMING,"['data structures', 'dp']",1600.0,,8084
2167,F,"Tree, TREE!!!",PROGRAMMING,"['dfs and similar', 'dp', 'math', 'trees']",1600.0,,4781
2167,E,khba Loves to Sleep!,PROGRAMMING,"['binary search', 'data structures', 'geometry', 'greedy', 'implementation']",1600.0,,6691
2167,D,Yet Another Array Problem,PROGRAMMING,"['brute force', 'implementation', 'math', 'number theory']",1000.0,,22925
2167,C,Isamatdin and His Magic Wand!,PROGRAMMING,"['constructive algorithms', 'greedy', 'implementation', 'sortings']",800.0,,28834
2167,B,Your Name,PROGRAMMING,"['sortings', 'strings']",800.0,,37805
2167,A,Square?,PROGRAMMING,"['math', 'sortings']",800.0,,41452
2162,H,Beautiful Problem,PROGRAMMING,['dp'],2900.0,,217
2162,G,Beautiful Tree,PROGRAMMING,"['constructive algorithms', 'math', 'probabilities', 'trees']",2200.0,,2262
2162,F,Beautiful Intervals,PROGRAMMING,"['constructive algorithms', 'greedy']",2100.0,,2327
2162,E,Beautiful Palindromes,PROGRAMMING,"['constructive algorithms', 'greedy', 'schedules']",1600.0,,7374
2162,D,Beautiful Permutation,PROGRAMMING,"['binary search', 'interactive']",1400.0,,10290
2162,C,Beautiful XOR,PROGRAMMING,"['bitmasks', 'constructive algorithms', 'greedy']",1100.0,,17594
2162,B,Beautiful String,PROGRAMMING,"['brute force', 'constructive algorithms']",1000.0,,23062
2162,A,Beautiful Average,PROGRAMMING,"['brute force', 'greedy']",800.0,,34671
2161,H,Cycle Sort,PROGRAMMING,['data structures'],3500.0,5000.0,19
2161,G,Bitwise And Equals,PROGRAMMING,"['bitmasks', 'greedy']",3500.0,3750.0,62
2161,F,SubMST,PROGRAMMING,"['combinatorics', 'graphs', 'trees']",3000.0,3250.0,171
2161,E,Left is Always Right,PROGRAMMING,"['combinatorics', 'implementation', 'math']",2400.0,3000.0,582
2161,D,Locked Out,PROGRAMMING,"['binary search', 'data structures', 'dp', 'greedy']",2100.0,2250.0,2112
2161,C,Loyalty,PROGRAMMING,"['constructive algorithms', 'greedy', 'sortings', 'two pointers']",1200.0,1750.0,8953
2161,B,Make Connected,PROGRAMMING,"['brute force', 'implementation']",1700.0,1000.0,4341
2161,A,Round Trip,PROGRAMMING,"['games', 'greedy', 'implementation', 'math']",800.0,500.0,13111
2160,C,Reverse XOR,PROGRAMMING,['bitmasks'],1300.0,1250.0,12730
2160,B,Distinct Elements,PROGRAMMING,"['greedy', 'math']",1100.0,1000.0,15002
2160,A,MEX Partition,PROGRAMMING,['math'],800.0,500.0,19768
2159,F,Grand Finale: Snakes,PROGRAMMING,"['binary search', 'interactive', 'ternary search']",3500.0,3500.0,120
2159,E,Super-Short-Polynomial-San,PROGRAMMING,"['math', 'meet-in-the-middle']",3500.0,3000.0,157
2159,D2,Inverse Minimum Partition (Hard Version),PROGRAMMING,"['dp', 'greedy', 'math']",3200.0,1750.0,324
2159,D1,Inverse Minimum Partition (Easy Version),PROGRAMMING,"['binary search', 'brute force', 'dp', 'geometry', 'greedy', 'math', 'two pointers']",2500.0,1500.0,825
2159,C,Twin Polynomials,PROGRAMMING,"['combinatorics', 'graph matchings', 'math']",2300.0,1500.0,1395
2159,B,Rectangles,PROGRAMMING,"['brute force', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'two pointers']",2100.0,1500.0,1965
2159,A,MAD Interactive Problem,PROGRAMMING,"['constructive algorithms', 'implementation', 'interactive']",1700.0,750.0,7140
2156,F2,Strange Operation (Hard Version),PROGRAMMING,"['data structures', 'greedy', 'trees']",3000.0,3250.0,174
2156,F1,Strange Operation (Easy Version),PROGRAMMING,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']",2200.0,3250.0,1338
2156,E,Best Time to Buy and Sell Stock,PROGRAMMING,"['binary search', 'brute force', 'data structures', 'dp', 'games', 'graphs', 'greedy']",2500.0,2750.0,751
2156,D,Find the Last Number,PROGRAMMING,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",1900.0,2000.0,4549
2156,C,Maximum GCD on Whiteboard,PROGRAMMING,"['greedy', 'math', 'number theory']",1400.0,1500.0,10113
2156,B,Strange Machine,PROGRAMMING,"['binary search', 'brute force', 'greedy', 'implementation']",1000.0,750.0,17210
2156,A,Pizza Time,PROGRAMMING,"['brute force', 'constructive algorithms', 'greedy']",800.0,500.0,22738
2155,F,Juan's Colorful Tree,PROGRAMMING,"['data structures', 'dfs and similar', 'dfs and similar', 'dsu', 'graphs', 'graphs', 'meet-in-the-middle', 'trees']",2800.0,3000.0,372
2155,E,Mimo & Yuyu,PROGRAMMING,"['games', 'greedy', 'math']",2200.0,2250.0,1827
2155,D,Batteries,PROGRAMMING,"['brute force', 'constructive algorithms', 'graph matchings', 'graphs', 'interactive', 'math']",1800.0,2000.0,4829
2155,C,The Ancient Wizards' Capes,PROGRAMMING,"['brute force', 'greedy', 'implementation']",1500.0,1750.0,7966
2155,B,Abraham's Great Escape,PROGRAMMING,"['constructive algorithms', 'graphs']",1100.0,1000.0,14223
2155,A,El fucho,PROGRAMMING,"['implementation', 'math']",800.0,500.0,21787
2154,F2,Bombing (Hard Version),PROGRAMMING,"['combinatorics', 'dp']",3300.0,1750.0,139
2154,F1,Bombing (Easy Version),PROGRAMMING,"['brute force', 'combinatorics', 'constructive algorithms', 'implementation', 'math']",2700.0,2250.0,432
2154,E,No Mind To Think,PROGRAMMING,"['binary search', 'divide and conquer', 'greedy', 'sortings', 'ternary search', 'two pointers']",2500.0,2500.0,974
2154,D,Catshock,PROGRAMMING,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees', 'two pointers']",1900.0,1750.0,3847
2154,C2,No Cost Too Great (Hard Version),PROGRAMMING,"['greedy', 'math', 'number theory']",2000.0,1000.0,4729
2154,C1,No Cost Too Great (Easy Version),PROGRAMMING,"['greedy', 'implementation', 'math', 'number theory']",1400.0,1250.0,11294
2154,B,Make it Zigzag,PROGRAMMING,"['constructive algorithms', 'greedy']",1000.0,1000.0,16443
2154,A,Notelock,PROGRAMMING,"['greedy', 'two pointers']",800.0,500.0,20166
2153,F,Odd Queries on Odd Array,PROGRAMMING,"['bitmasks', 'brute force', 'data structures', 'implementation', 'trees']",2900.0,3250.0,236
2153,E,Zero Trailing Factorial,PROGRAMMING,"['brute force', 'math', 'number theory']",2400.0,2250.0,774
2153,D,Not Alone,PROGRAMMING,"['dp', 'greedy']",1800.0,1750.0,5310
2153,C,Symmetrical Polygons,PROGRAMMING,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'sortings']",1500.0,1250.0,10288
2153,B,Bitwise Reversion,PROGRAMMING,"['bitmasks', 'greedy']",800.0,750.0,20444
2153,A,Circle of Apple Trees,PROGRAMMING,"['greedy', 'sortings']",800.0,500.0,23589
2152,H2,Victorious Coloring (Hard Version),PROGRAMMING,"['data structures', 'greedy', 'schedules']",3500.0,2500.0,161
2152,H1,Victorious Coloring (Easy Version),PROGRAMMING,"['dfs and similar', 'dp', 'greedy']",2900.0,4000.0,334
2152,G,Query Jungle,PROGRAMMING,"['data structures', 'implementation', 'math', 'matrices', 'trees']",2900.0,4000.0,507
2152,F,Triple Attack,PROGRAMMING,"['data structures', 'greedy']",2500.0,4000.0,884
2152,E,Monotone Subsequence,PROGRAMMING,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'math']",2100.0,3000.0,2342
2152,D,Division Versus Addition,PROGRAMMING,"['games', 'greedy', 'math']",1700.0,2500.0,5800
2152,C,Triple Removal,PROGRAMMING,"['data structures', 'greedy', 'math']",1400.0,1500.0,10262
2152,B,Catching the Krug,PROGRAMMING,['games'],1300.0,1500.0,11494
2152,A,Increase or Smash,PROGRAMMING,"['greedy', 'implementation']",800.0,500.0,19814
2151,C,Incremental Stay,PROGRAMMING,"['greedy', 'implementation', 'math']",1400.0,1250.0,8126
2151,A,Incremental Subarray,PROGRAMMING,"['math', 'strings']",800.0,500.0,15655
2150,G,Counting Is Fun: The Finale,PROGRAMMING,"['combinatorics', 'implementation']",3500.0,4250.0,53
2150,F,Cycle Closing,PROGRAMMING,"['constructive algorithms', 'graphs', 'implementation', 'shortest paths', 'trees']",3000.0,3250.0,165
2150,E2,Hidden Single (Version 2),PROGRAMMING,"['binary search', 'divide and conquer', 'interactive', 'math', 'probabilities']",2800.0,1750.0,518
2150,E1,Hidden Single (Version 1),PROGRAMMING,"['divide and conquer', 'interactive', 'math', 'probabilities', 'sortings']",2600.0,2000.0,858
2150,D,Attraction Theory,PROGRAMMING,"['combinatorics', 'dp', 'math']",2700.0,2500.0,646
2150,C,Limited Edition Shop,PROGRAMMING,"['data structures', 'dp']",2100.0,1750.0,1991
2150,B,Grid Counting,PROGRAMMING,"['combinatorics', 'implementation', 'math']",1700.0,1000.0,4758
2150,A,Incremental Path,PROGRAMMING,"['data structures', 'hashing', 'implementation']",1300.0,500.0,10013
2149,G,Buratsuta 3,PROGRAMMING,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'probabilities']",2100.0,,2227
2149,F,Nezuko in the Clearing,PROGRAMMING,"['binary search', 'math', 'ternary search']",1900.0,,4165
2149,E,Hidden Knowledge of the Ancients,PROGRAMMING,"['data structures', 'two pointers']",1500.0,,7945
2149,D,A and B,PROGRAMMING,['strings'],1200.0,,16603
2149,C,MEX rose,PROGRAMMING,['greedy'],900.0,,24248
2149,B,Unconventional Pairs,PROGRAMMING,"['greedy', 'sortings']",800.0,,29786
2149,A,Be Positive,PROGRAMMING,['math'],800.0,,35135
