contestId,index,name,type,tags,rating,points,solvedCount
2169,F,Subsequence Problem,PROGRAMMING,"['combinatorics', 'dp', 'fft', 'math']",,,39
2169,E,Points Selection,PROGRAMMING,"['brute force', 'dp', 'geometry', 'greedy']",,,115
2169,D2,Removal of a Sequence (Hard Version),PROGRAMMING,"['binary search', 'constructive algorithms', 'divide and conquer', 'greedy', 'implementation', 'math', 'number theory', 'probabilities']",,,403
2169,D1,Removal of a Sequence (Easy Version),PROGRAMMING,"['binary search', 'bitmasks', 'geometry', 'implementation', 'math', 'number theory']",,,2608
2169,C,Range Operation,PROGRAMMING,"['math', 'two pointers']",,,4793
2169,B,Drifting Away,PROGRAMMING,"['greedy', 'implementation']",,,7830
2169,A,Alice and Bob,PROGRAMMING,['greedy'],,,8710
2168,C,Intercepting Butterflies,PROGRAMMING,"['bitmasks', 'constructive algorithms', 'graphs', 'interactive']",,,680
2168,B,Locate,PROGRAMMING,"['binary search', 'combinatorics', 'constructive algorithms', 'greedy', 'interactive']",,,1272
2168,A2,Encode and Decode (Hard Version),PROGRAMMING,"['bitmasks', 'interactive', 'math']",,,2682
2168,A1,Encode and Decode (Easy Version),PROGRAMMING,"['constructive algorithms', 'interactive']",,,4110
2164,H,PalindromePalindrome,PROGRAMMING,"['data structures', 'strings']",,5500.0,24
2164,G,Pointless Machine,PROGRAMMING,"['constructive algorithms', 'graphs', 'interactive', 'trees']",,3500.0,120
2164,F2,Chain Prefix Rank (Hard Version),PROGRAMMING,"['binary search', 'combinatorics', 'data structures', 'dfs and similar', 'dp', 'graphs', 'math', 'trees']",,1500.0,260
2164,F1,Chain Prefix Rank (Easy Version),PROGRAMMING,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']",,2500.0,456
2164,E,Journey,PROGRAMMING,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy']",,2250.0,1173
2164,D,Copy String,PROGRAMMING,"['greedy', 'implementation', 'strings', 'two pointers']",,1750.0,3575
2164,C,Dungeon,PROGRAMMING,"['binary search', 'brute force', 'data structures', 'greedy', 'sortings']",,1500.0,7407
2164,B,Even Modulo Pair,PROGRAMMING,"['brute force', 'math', 'number theory']",,750.0,12254
2164,A,Sequence Game,PROGRAMMING,"['brute force', 'sortings']",,500.0,15641
2163,E,Plegma,PROGRAMMING,"['bitmasks', 'combinatorics', 'interactive']",,2750.0,435
2163,D2,Diadrash (Hard Version),PROGRAMMING,"['binary search', 'interactive', 'math', 'sortings']",,1250.0,989
2163,D1,Diadrash (Easy Version),PROGRAMMING,"['binary search', 'brute force', 'divide and conquer', 'implementation', 'interactive']",,1500.0,1922
2163,C,Monopati,PROGRAMMING,"['brute force', 'combinatorics', 'dp', 'math', 'two pointers']",,1250.0,5843
2163,B,Siga ta Kymata,PROGRAMMING,"['constructive algorithms', 'greedy', 'implementation', 'math']",,1000.0,6508
2163,A,Souvlaki VS. Kalamaki,PROGRAMMING,"['brute force', 'greedy', 'math', 'sortings']",,500.0,15053
2095,J,Premiere at a Wrong Time,PROGRAMMING,['*special'],,,468
2095,I,Mysterious Script,PROGRAMMING,"['*special', 'expression parsing', 'number theory']",,,596
2095,H,Blurry Vision,PROGRAMMING,"['*special', 'fft', 'math']",,,753
2095,G,Definitely a Geometry Problem,PROGRAMMING,"['*special', 'geometry']",,,891
2095,F,⅓ оf а Рrоblеm,PROGRAMMING,"['*special', 'math']",,,729
2095,E,Pair Count,PROGRAMMING,"['*special', 'number theory']",,,723
2095,D,Where Am I?,PROGRAMMING,"['*special', 'geometry']",,,4915
2095,C,Would It Be Unrated?,PROGRAMMING,"['*special', 'binary search', 'brute force']",,,3212
2095,B,Plinko,PROGRAMMING,"['*special', 'games', 'interactive']",,,5335
2095,A,Piecing It Together,PROGRAMMING,"['*special', 'string suffix structures']",,,12542
2087,I,Hamiltonian Partition,PROGRAMMING,"['*special', '*special']",,,23
2087,H,Nim with Special Numbers,PROGRAMMING,"['*special', '*special']",,,25
2087,G,Esports in Berland,PROGRAMMING,"['*special', '*special', 'greedy', 'greedy']",,,85
2087,F,Weapon Upgrade,PROGRAMMING,"['*special', '*special', 'dp']",,,66
2087,E,Color the Arrows,PROGRAMMING,"['*special', '*special', 'dp', 'dp']",,,158
2087,D,Uppercase or Lowercase?,PROGRAMMING,"['*special', '*special', 'interactive']",,,261
2087,C,Coin Game,PROGRAMMING,"['*special', 'greedy']",,,479
2087,B,Showmatch,PROGRAMMING,['*special'],,,557
2087,A,Password Generator,PROGRAMMING,['*special'],,,1037
2011,I,Stack and Queue,PROGRAMMING,"['*special', 'data structures', 'divide and conquer']",,,22
2011,H,Strange Matrix,PROGRAMMING,"['*special', 'graphs', 'greedy']",,,55
2011,G,Removal of a Permutation,PROGRAMMING,['*special'],,,47
2011,F,Good Subarray,PROGRAMMING,"['*special', 'data structures', 'greedy']",,,128
2011,E,Rock-Paper-Scissors Bot,PROGRAMMING,"['*special', 'greedy', 'strings']",,,179
2011,D,Among Wolves,PROGRAMMING,['*special'],,,280
2011,C,Split the Expression,PROGRAMMING,['*special'],,,374
2011,B,Shuffle,PROGRAMMING,['*special'],,,669
2011,A,Problem Solving,PROGRAMMING,['*special'],,,1125
1953,A,Accuracy-Preserving Summation Algorithm,PROGRAMMING,['*special'],,,0
1952,J,"Help, what does it mean to be ""Based""",PROGRAMMING,"['*special', 'brute force', 'constructive algorithms', 'expression parsing', 'implementation', 'sortings']",,,863
1952,I,Dark Matter,PROGRAMMING,"['*special', 'bitmasks', 'geometry']",,,627
1952,H,Palindrome,PROGRAMMING,"['*special', 'implementation', 'strings']",,,782
1952,G,Mathematician Takeover,PROGRAMMING,"['*special', 'binary search', 'dfs and similar', 'math']",,,1159
1952,F,Grid,PROGRAMMING,"['*special', 'brute force']",,,1883
1952,E,Sweep Line,PROGRAMMING,"['*special', 'combinatorics', 'games', 'math']",,,318
1952,D,Are You a Procrastinator?,PROGRAMMING,"['*special', 'implementation']",,,5213
1952,C,They Have Fooled,PROGRAMMING,"['*special', 'brute force', 'schedules']",,,3189
1952,B,Is it stated?,PROGRAMMING,"['*special', 'strings']",,,12073
1952,A,"Are You a Robot, Again?",PROGRAMMING,"['*special', 'strings']",,,13740
1940,D,Almost Certainly,PROGRAMMING,"['*special', 'constructive algorithms', 'data structures', 'sortings']",,,164
1940,C,Burenka and Pether,PROGRAMMING,"['*special', 'data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'graphs', 'sortings', 'trees']",,,41
1940,B,Three Arrays,PROGRAMMING,"['*special', 'constructive algorithms', 'implementation', 'sortings']",,,248
1940,A,Parallel Universes,PROGRAMMING,"['*special', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs']",,,97
1939,D,Big Persimmon,PROGRAMMING,"['*special', 'dp', 'games']",,,106
1939,C,More Gifts,PROGRAMMING,"['*special', 'dfs and similar', 'two pointers']",,,370
1939,B,Evidence Board,PROGRAMMING,"['*special', 'constructive algorithms', 'dfs and similar', 'graphs', 'trees']",,,278
1939,A,Draw Polygon Lines,PROGRAMMING,"['*special', 'constructive algorithms', 'dp', 'geometry', 'interactive']",,,30
1885,A,Deterministic Scheduling for Extended Reality over 5G and Beyond,PROGRAMMING,['*special'],,,0
1812,J,Unmysterious Language,PROGRAMMING,"['*special', 'constructive algorithms', 'strings']",,,6206
1812,I,Mountain Climber,PROGRAMMING,['*special'],,,283
1812,H,Expected Twist,PROGRAMMING,"['*special', 'interactive']",,,164
1812,G,Colour Vision,PROGRAMMING,"['*special', 'implementation']",,,595
1812,F,Factorization,PROGRAMMING,"['*special', 'number theory']",,,1310
1812,E,Not a Geometry Problem,PROGRAMMING,"['*special', '*special', 'constructive algorithms', 'geometry', 'math']",,,4213
